n_snp,var_cos,cache_pool_cos,ref_pool_cos,cache_relerr,ref_relerr
1,1.0,0.9999964237213135,0.999994158744812,0.0027620340697467327,0.0034412797540426254
1,0.9999997615814209,0.9999995231628418,0.9999997019767761,0.0007627494051121175,0.0007698696572333574
1,0.9999998807907104,0.9999954700469971,0.9999950528144836,0.003057642374187708,0.0032522697001695633
2,0.9999985694885254,0.9999989867210388,0.999998927116394,0.0015025708125904202,0.0015102223260328174
1,1.0,0.9999990463256836,0.9999990463256836,0.0013548261485993862,0.0013637716183438897
1,1.000000238418579,0.9999997019767761,0.9999995231628418,0.0007381650502793491,0.00084521877579391
1,1.0000001192092896,0.9999983906745911,0.9999983906745911,0.0018391268095001578,0.0018757504876703024
1,0.9999998211860657,0.9999995827674866,0.9999993443489075,0.0011489208554849029,0.001247244537808001
1,0.9999998211860657,0.9999995827674866,0.9999995231628418,0.0010882456554099917,0.0012454750249162316
1,1.0,0.9999979138374329,0.999997615814209,0.002285724738612771,0.0024405033327639103
1,0.9999999403953552,0.999996542930603,0.9999964833259583,0.002698918106034398,0.0027678085025399923
1,1.0,0.9999986290931702,0.9999986290931702,0.0018883293960243464,0.0019602137617766857
1,1.0,0.9999992847442627,0.9999991655349731,0.0013681391719728708,0.0015605819644406438
1,0.9999999403953552,0.9999963641166687,0.999995231628418,0.0028028739616274834,0.0031958981417119503
1,0.9999998807907104,0.9999983310699463,0.9999983310699463,0.002138335956260562,0.002182100201025605
1,1.0,0.9999992251396179,0.9999990463256836,0.0011106882011517882,0.0013122368836775422
2,0.999996542930603,0.9999990463256836,0.9999988675117493,0.0013688940089195967,0.0015316263306885958
1,1.0000001192092896,0.9999983310699463,0.9999982118606567,0.0021198003087192774,0.002166673308238387
2,0.9999804496765137,0.9999977946281433,0.9999969005584717,0.0028528086841106415,0.0030097702983766794
1,0.9999998211860657,0.9999992251396179,0.9999991059303284,0.0013680076226592064,0.001473033451475203
1,1.0,0.9999990463256836,0.9999986290931702,0.0014108968898653984,0.001631984836421907
1,0.9999999403953552,0.9999927878379822,0.9999924302101135,0.004051344469189644,0.004163048695772886
1,1.0000001192092896,0.999997079372406,0.9999966621398926,0.0025642153341323137,0.002731102053076029
1,1.0000001192092896,0.9999993443489075,0.9999992847442627,0.0014680986059829593,0.001585703226737678
1,0.9999998807907104,0.9999976754188538,0.9999975562095642,0.0021518347784876823,0.002239988185465336
1,0.9999999403953552,0.9999858140945435,0.9999852776527405,0.0055696857161819935,0.005721141584217548
1,0.9999999403953552,0.9999952912330627,0.9999951124191284,0.003128049662336707,0.003225212451070547
1,1.0000001192092896,0.9999977350234985,0.9999975562095642,0.003593796631321311,0.003694696817547083
1,1.0000001192092896,0.9999988675117493,0.9999984502792358,0.0016094049206003547,0.0018717668717727065
1,0.9999999403953552,0.9999931454658508,0.9999923706054688,0.005489803850650787,0.005818906240165234
1,0.9999999403953552,0.9999990463256836,0.9999986886978149,0.0014596096007153392,0.0015633656876161695
2,0.9999966025352478,0.9999947547912598,0.9999945163726807,0.00418526865541935,0.004203781019896269
1,0.9999999403953552,0.9999974966049194,0.9999974966049194,0.003011773806065321,0.002954113995656371
1,1.0000001192092896,0.9999998807907104,0.9999998211860657,0.0006556619191542268,0.0006895348778925836
1,1.0000001192092896,0.999998152256012,0.9999979138374329,0.002048780443146825,0.002089963061735034
1,1.0,0.9999984502792358,0.9999982714653015,0.0018746951827779412,0.0019737936090677977
1,1.0,0.9999994039535522,0.999999463558197,0.0011882551480084658,0.0012306864373385906
