n_snp,diff_norm,ref_norm,rel_diff
0,0.08179369568824768,103.73394775390625,0.0007884949667807048
0,0.0804864764213562,115.87938690185547,0.0006945711275597666
1,0.13892631232738495,110.11367797851562,0.0012616626279115931
1,0.20172946155071259,95.13562774658203,0.002120440746846916
1,0.6086063981056213,115.82829284667969,0.005254384599376123
0,0.07981356978416443,93.6702880859375,0.000852069225098782
1,0.2119109332561493,110.92617797851562,0.0019103780290455204
0,0.0442737340927124,110.88970947265625,0.00039925917655713264
1,0.318838506937027,104.75498962402344,0.003043659381585274
1,0.15623724460601807,114.30437469482422,0.0013668527125330803
1,0.36896347999572754,112.12174987792969,0.003290739579050712
0,0.08354764431715012,114.6700439453125,0.0007285917179642398
1,0.3309006094932556,112.88191223144531,0.0029313873494169708
0,0.053997702896595,92.78863525390625,0.0005819430660752367
0,0.09597454220056534,115.38227844238281,0.0008317962125222817
1,0.19019266963005066,101.67488861083984,0.001870596292050166
0,0.09799796342849731,115.03677368164062,0.0008518837958695062
1,0.22516143321990967,112.28569793701172,0.002005254786288252
1,0.17962251603603363,102.61898803710938,0.001750382843096036
0,0.11615385115146637,114.51406860351562,0.0010143194855265182
0,0.09241718798875809,101.33810424804688,0.0009119687868104092
1,0.24286043643951416,117.84820556640625,0.0020607902790905444
0,0.0784822553396225,104.1886978149414,0.0007532703353200713
0,0.09048432856798172,112.6606216430664,0.0008031584350267119
1,0.09804601222276688,102.17782592773438,0.0009595625208556528
1,0.11807265877723694,116.6109390258789,0.0010125350139838394
1,0.30330637097358704,106.23748016357422,0.0028549846109544876
1,0.2260669469833374,114.5843734741211,0.0019729299914913326
0,0.10645969212055206,112.62308502197266,0.0009452741602645841
1,0.6913108825683594,115.99781799316406,0.005959688678015473
1,0.22160418331623077,116.8221435546875,0.0018969364589042322
1,0.17920589447021484,103.31744384765625,0.001734517307014077
0,0.09046335518360138,116.78744506835938,0.0007745982894877984
1,0.29784372448921204,116.323974609375,0.0025604672251734397
0,0.05902286246418953,110.40030670166016,0.0005346258921516381
1,0.16898414492607117,116.92190551757812,0.0014452736138538724
1,0.2699379622936249,102.2206802368164,0.0026407372917912008
0,0.17325137555599213,114.39337158203125,0.0015145228535532228
0,0.08149881660938263,105.07894897460938,0.0007755960390227684
1,0.31242311000823975,115.756591796875,0.002698966038637931
1,0.20424404740333557,91.80200958251953,0.0022248319871445025
3,0.2306259125471115,111.09222412109375,0.0020759860950818896
0,0.07277294248342514,116.24976348876953,0.000626005079919629
1,0.21040911972522736,106.4989242553711,0.00197569244193202
2,0.20818570256233215,102.6419906616211,0.0020282703133521255
1,0.13541096448898315,112.2728500366211,0.0012060882434605951
1,0.1198933869600296,108.939697265625,0.001100548192893326
1,0.1941671222448349,105.20905303955078,0.0018455362598106696
1,0.2674912214279175,114.77033233642578,0.00233066521619735
0,0.08148669451475143,111.49658203125,0.0007308447759583566
0,0.0835467278957367,115.47235107421875,0.0007235214934009427
0,0.06612644344568253,99.91311645507812,0.0006618394640448793
1,0.28760096430778503,117.60558319091797,0.0024454703297623276
1,0.27209094166755676,113.7644271850586,0.0023917049327286744
0,0.037638068199157715,116.5555191040039,0.00032291965655931583
1,0.2976914346218109,110.15419006347656,0.0027024976031348935
1,0.15766699612140656,94.2569351196289,0.001672736291725367
1,0.21395188570022583,107.84288024902344,0.001983922213559047
0,0.11209554970264435,111.38601684570312,0.0010063700352794201
1,0.18820244073867798,113.42967987060547,0.0016591992585482855
0,0.06494353711605072,116.20418548583984,0.0005588743369658098
2,0.5921505689620972,115.53448486328125,0.0051253144865173695
1,0.15582185983657837,107.59831237792969,0.0014481812622605798
1,0.299811452627182,101.6281967163086,0.0029500813978240188
2,0.3017345666885376,114.3583984375,0.002638499408973831
0,0.08074839413166046,100.28585052490234,0.0008051823234186914
0,0.10442396998405457,84.07539367675781,0.0012420277255617777
0,0.06205049902200699,116.4328842163086,0.0005329293304005919
1,0.17754307389259338,111.18427276611328,0.0015968362204074687
0,0.10771641135215759,99.31372833251953,0.001084607467272847
0,0.11201977729797363,115.34382629394531,0.0009711813878317112
